frame,timestamp,can_id,x1,y1,x2,y2
234,37.38,1,0,720,257,1079
237,37.86,2,18,807,302,1080
238,38.02,3,4,787,335,1080
2280,364.22,4,0,512,706,1080
3418,546.01,5,300,968,444,1080
3419,546.17,6,301,975,431,1080
3472,554.63,7,276,963,512,1080
3474,554.95,8,443,824,574,973
3475,555.11,9,453,823,573,972
3475,555.11,10,262,896,529,1079
3476,555.27,11,454,823,574,977
3477,555.43,12,451,823,572,972
3478,555.59,13,455,829,572,971
3479,555.75,14,450,827,572,976
3480,555.91,15,451,822,572,976
3495,558.31,16,365,331,487,471
3498,558.79,17,365,330,487,472
3500,559.11,18,366,329,484,469
3582,572.2,19,568,326,723,525
3583,572.36,20,572,329,721,523
3584,572.52,21,570,329,722,520
3585,572.68,22,569,331,722,519
3585,572.68,23,456,275,607,483
3586,572.84,24,568,331,721,519
3586,572.84,25,460,274,607,472
3587,573.0,26,565,331,721,518
3594,574.12,27,345,493,486,666
3595,574.28,28,346,496,481,666
3698,590.73,29,466,833,575,976
3706,592.01,30,407,126,562,348
3707,592.17,31,407,126,562,348
3707,592.17,32,192,439,333,633
3708,592.33,33,406,126,562,348
3708,592.33,34,196,438,329,629
3765,601.44,35,315,301,454,451
3766,601.6,36,314,303,453,452
3776,603.19,37,405,127,564,348
3785,604.63,38,318,302,448,455
3786,604.79,39,316,299,450,457
3787,604.95,40,318,302,448,454
3788,605.11,41,317,301,447,454
3789,605.27,42,317,302,449,455
3790,605.43,43,317,302,448,455
3791,605.59,44,316,301,449,456
3792,605.75,45,317,301,448,454
3795,606.23,46,319,302,447,451
3798,606.71,47,417,139,563,342
3799,606.87,48,417,135,565,343
3800,607.03,49,418,132,565,343
3801,607.19,50,420,127,571,344
3815,609.42,51,409,150,565,341
3816,609.58,52,405,148,566,341
3822,610.54,53,413,132,567,345
3823,610.7,54,413,135,567,344
3824,610.86,55,412,138,566,344
3835,612.62,56,0,541,241,1080
3837,612.94,57,410,129,561,344
3838,613.1,58,0,533,287,1080
3839,613.26,59,0,551,288,1079
3840,613.42,60,0,538,311,1080
3852,615.34,61,409,137,556,337
3853,615.5,62,401,125,563,339
3854,615.65,63,411,140,554,333
3855,615.81,64,411,139,556,333
3856,615.97,65,406,155,556,337
3857,616.13,66,405,156,558,334
3858,616.29,67,408,161,555,337
3859,616.45,68,414,162,554,337
3860,616.61,69,416,163,557,337
3861,616.77,70,415,164,557,337
3862,616.93,71,416,164,558,338
3863,617.09,72,415,164,556,340
3865,617.41,73,406,148,559,345
3866,617.57,74,406,132,557,336
3867,617.73,75,407,131,557,338
3868,617.89,76,407,132,557,340
3869,618.05,77,407,134,557,336
3870,618.21,78,408,133,557,337
3871,618.37,79,410,133,557,338
3875,619.01,80,408,131,556,333
3876,619.17,81,405,130,556,334
3877,619.33,82,407,131,555,336
3878,619.49,83,407,131,555,336
3879,619.65,84,407,131,555,335
3880,619.81,85,408,132,554,334
3881,619.97,86,407,132,556,334
3882,620.13,87,407,132,556,335
3883,620.29,88,406,131,556,336
3884,620.45,89,407,131,555,336
3885,620.61,90,406,131,556,337
3886,620.77,91,405,130,557,336
3887,620.93,92,406,131,557,336
3888,621.09,93,406,131,559,337
3889,621.25,94,405,132,559,337
3890,621.41,95,406,132,559,337
3891,621.57,96,406,133,559,336
3892,621.73,97,406,133,559,336
3893,621.88,98,407,133,559,336
3894,622.04,99,407,133,558,335
3895,622.2,100,408,133,558,335
3896,622.36,101,407,133,558,335
3897,622.52,102,409,133,559,339
3898,622.68,103,409,132,559,337
3899,622.84,104,410,133,558,339
3900,623.0,105,410,134,558,340
3901,623.16,106,410,136,559,340
3902,623.32,107,408,136,559,345
3903,623.48,108,409,137,559,344
3904,623.64,109,411,137,559,343
3905,623.8,110,410,138,560,352
3906,623.96,111,412,135,561,354
3907,624.12,112,416,134,563,356
3908,624.28,113,413,134,585,354
3908,624.28,114,468,827,572,974
3909,624.44,115,407,132,589,355
3910,624.6,116,416,132,588,356
3911,624.76,117,411,132,588,356
3911,624.76,118,465,827,572,972
3912,624.92,119,415,132,588,354
3912,624.92,120,466,825,573,971
3913,625.08,121,411,132,581,351
3913,625.08,122,467,827,573,973
3914,625.24,123,416,133,580,348
3915,625.4,124,419,134,580,347
3915,625.4,125,470,826,573,975
3916,625.56,126,419,133,587,352
3916,625.56,127,467,826,573,975
3917,625.72,128,421,133,588,354
3917,625.72,129,473,827,572,976
3918,625.88,130,404,124,589,377
3919,626.04,131,400,123,591,371
3920,626.2,132,398,126,591,363
3921,626.36,133,406,126,588,354
3921,626.36,134,215,142,343,329
3922,626.52,135,215,147,340,336
3922,626.52,136,408,131,584,354
3923,626.68,137,212,144,349,343
3923,626.68,138,412,132,578,348
3924,626.84,139,413,130,581,356
3925,627.0,140,477,834,573,983
3925,627.0,141,411,127,581,360
3926,627.16,142,415,121,586,359
3926,627.16,143,478,834,573,983
3929,627.64,144,469,821,572,979
3931,627.96,145,473,821,572,980
3932,628.12,146,475,814,572,977
3957,632.11,147,435,806,546,961
3958,632.27,148,438,811,546,961
3959,632.43,149,433,800,546,960
4712,752.72,150,0,471,721,1079
4713,752.88,151,0,465,717,1079
5221,834.03,152,0,478,693,1079
5223,834.35,153,0,482,706,1079
5224,834.5,154,0,475,709,1079
5252,838.98,155,0,204,57,389
6271,1001.76,156,0,522,698,1080
6272,1001.92,157,0,524,701,1080
6762,1080.19,158,0,490,591,1079
6763,1080.35,159,0,480,581,1079
