customer_id,timestamp,no_of_cans,payment_status,payment_mode
1,21.41,0,UNPAID,NONE
14,312.62,0,UNPAID,NONE
31,554.31,1,UNPAID,NONE
36,560.7,0,UNPAID,NONE
41,574.76,0,UNPAID,NONE
42,587.22,0,UNPAID,NONE
43,600.48,4,UNPAID,NONE
45,608.95,0,UNPAID,NONE
46,610.7,0,UNPAID,NONE
49,632.11,5,PAID,CASH
53,623.64,0,UNPAID,NONE
56,637.22,1,UNPAID,NONE
68,740.42,0,UNPAID,NONE
70,841.85,0,UNPAID,NONE
71,843.93,0,UNPAID,NONE
77,1122.36,0,UNPAID,NONE
80,1132.59,0,UNPAID,NONE
81,1139.3,0,UNPAID,NONE
83,1166.45,0,UNPAID,NONE
